id,iupac_key,iupac,cas,name,acentric_factor,formula,molecular_weight,critical_pressure,critical_pressure_unit,critical_temperature,critical_temperature_unit,antoine_a,antoine_b,antoine_c
1,VNWKTOKETHGBQD-UHFFFAOYSA-N,1S/CH4/h1H4,74-82-8,methane,0.0115,CH4,16.0425,666.4,psi,-116.67,farenheit,3.9895,443.028,-0.49
2,OTMSDBZUPAUEDD-UHFFFAOYSA-N,1S/C2H6/c1-2/h1-2H3,74-84-0,ethane,0.0995,C2H6,30.07,706.5,psi,89.92,farenheit,3.93835,659.739,-16.719
3,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,1S/C3H8/c1-3-2/h3H2;1-2H3,74-98-6,propane,0.1523,C3H8,44.097,616,psi,206.06,farenheit,4.53678,1149.36,24.906
4,NNPPMTNAJDCUHE-UHFFFAOYSA-N,1S/C4H10/c1-4(2)3/h4H;1-3H3,75-28-5,isobutane,0.177,C4H10,58.123,527.9,psi,274.46,farenheit,4.3281,1132.108,0.918
5,IJDNQMDRQITEOD-UHFFFAOYSA-N,1S/C4H10/c1-3-4-2/h3-4H2;1-2H3,106-97-8,butane,0.2002,C4H10,58.123,550.6,psi,305.62,farenheit,4.35576,1175.581,-2.071
6,QWTDNUCVQCZILF-UHFFFAOYSA-N,1S/C5H12/c1-4-5(2)3/h5H;4H2;1-3H3,78-78-4,isopentane,0.2275,C5H12,72.15,490.4,psi,369.1,farenheit,3.97183,1021.864,-43.231
7,OFBQJSOFQDEBGM-UHFFFAOYSA-N,1S/C5H12/c1-3-5-4-2/h3-5H2;1-2H3,109-66-0,pentane,0.2515,C5H12,73.15,488.6,psi,385.8,farenheit,3.9892,1070.617,-40.454
8,CRSOQBOWXPBRES-UHFFFAOYSA-N,1S/C5H12/c1-5(2;3)4/h1-4H3,463-82-1,neopentane,0.1964,C5H12,74.15,464,psi,321.13,farenheit,4.61616,1478.868,41.256
9,VLKZOEOYAKHREP-UHFFFAOYSA-N,1S/C6H14/c1-3-5-6-4-2/h3-6H2;1-2H3,110-54-3,n-hexane,0.3013,C6H14,86.177,436.9,psi,453.6,farenheit,4.00266,1171.53,-48.784
10,AFABGHUZZDYHJO-UHFFFAOYSA-N,1S/C6H14/c1-4-5-6(2)3/h6H;4-5H2;1-3H3,107-83-5,2-methyl-pentane,0.2781,C6H14,86.177,436.6,psi,435.83,farenheit,3.964,1135.41,-46.578
